"","alias","abbr","vote","noOfLgas","lgaCollated","registeredVote","totalVote","slug","updatedAt"
"178","delta","LP",341866,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"179","delta","NNPP",3122,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"180","delta","PDP",161600,25,25,3221697,615341,"1ea01288-a14f-4ec4-a451-0f66dfee4e8d","2023-02-28T21:59:15.356009"
"181","ebonyi","APGA",4120,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"182","ebonyi","APC",42402,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"183","ebonyi","A",178,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"184","ebonyi","AA",248,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"185","ebonyi","AAC",264,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"186","ebonyi","ZLP",925,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"187","ebonyi","ADC",477,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"188","ebonyi","ADP",327,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"189","ebonyi","APM",367,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"190","ebonyi","APP",182,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"191","ebonyi","BP",342,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"192","ebonyi","LP",259738,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
"193","ebonyi","NNPP",1661,13,13,1597646,325351,"815972b5-4139-45bd-8685-0dc9add990ed","2023-02-28T22:09:09.608562"
